iter	Passed	Remaining
605	22365	32995
606	22398	32951
607	22433	32911
608	22463	32865
609	22499	32827
610	22532	32785
611	22560	32734
612	22592	32690
613	22627	32651
614	22662	32611
615	22696	32570
616	22729	32528
617	22767	32493
618	22800	32451
619	22838	32416
620	22878	32383
621	22931	32369
622	22966	32330
623	23001	32290
624	23033	32247
625	23066	32204
626	23116	32186
627	23172	32175
628	23207	32135
629	23242	32097
630	23279	32059
631	23314	32020
632	23360	31996
633	23393	31953
634	23424	31908
635	23464	31876
636	23506	31845
637	23544	31811
638	23576	31767
639	23686	31828
640	23730	31800
641	23760	31754
642	23793	31711
643	23824	31667
644	23853	31619
645	23880	31569
646	23909	31522
647	23944	31483
648	23973	31435
649	24004	31390
650	24035	31345
651	24066	31300
652	24103	31263
653	24135	31221
654	24172	31184
655	24202	31138
656	24235	31096
657	24263	31048
658	24292	31000
659	24321	30955
660	24355	30914
661	24385	30868
662	24418	30827
663	24448	30781
664	24477	30734
665	24517	30702
666	24550	30659
667	24578	30613
668	24606	30565
669	24635	30519
670	24665	30473
671	24696	30429
672	24730	30389
673	24763	30348
674	24798	30309
675	24841	30279
676	24887	30254
677	24945	30243
678	24986	30212
679	25017	30168
680	25047	30122
681	25081	30082
682	25116	30043
683	25149	30002
684	25183	29962
685	25216	29922
686	25255	29887
687	25312	29874
688	25338	29824
689	25359	29769
690	25380	29714
691	25399	29657
692	25419	29601
693	25440	29546
694	25460	29490
695	25478	29431
696	25498	29376
697	25521	29323
698	25540	29267
699	25559	29210
700	25584	29160
701	25604	29105
702	25623	29049
703	25680	29036
704	25733	29018
705	25760	28971
706	25785	28922
707	25809	28871
708	25834	28821
709	25857	28770
710	25878	28717
711	25896	28661
712	25915	28604
713	25933	28548
714	25951	28492
715	25972	28439
716	25992	28385
717	26011	28330
718	26030	28274
719	26047	28217
720	26064	28160
721	26081	28104
722	26099	28049
723	26116	27992
724	26134	27936
725	26153	27882
726	26170	27826
727	26187	27769
728	26205	27715
729	26222	27659
730	26239	27603
731	26258	27550
732	26275	27494
733	26292	27438
734	26311	27384
735	26329	27330
736	26345	27275
737	26363	27221
738	26382	27167
739	26400	27113
740	26419	27061
741	26438	27008
742	26455	26954
743	26472	26899
744	26491	26847
745	26507	26791
746	26524	26737
747	26541	26682
748	26562	26632
749	26582	26582
750	26601	26530
751	26618	26476
752	26635	26422
753	26654	26371
754	26672	26319
755	26690	26266
756	26707	26213
757	26725	26161
758	26743	26109
759	26760	26056
760	26778	26004
761	26795	25951
762	26811	25898
763	26831	25848
764	26848	25795
765	26866	25743
766	26884	25692
767	26901	25640
768	26917	25587
769	26935	25536
770	26952	25483
771	26975	25437
772	26999	25392
773	27016	25340
774	27033	25289
775	27050	25238
776	27071	25190
777	27091	25141
778	27111	25092
779	27132	25045
780	27152	24997
781	27175	24951
782	27196	24904
783	27223	24862
784	27246	24817
785	27269	24771
786	27288	24722
787	27307	24673
788	27326	24624
789	27346	24576
790	27366	24529
791	27387	24482
792	27408	24436
793	27427	24387
794	27451	24343
795	27470	24295
796	27489	24246
797	27508	24199
798	27528	24151
799	27545	24102
800	27566	24056
801	27584	24007
802	27602	23959
803	27620	23910
804	27641	23864
805	27658	23815
806	27678	23768
807	27696	23720
808	27715	23672
809	27733	23624
810	27750	23576
811	27768	23527
812	27787	23480
813	27826	23450
814	27861	23417
815	27892	23380
816	27929	23348
817	27965	23315
818	28007	23288
819	28067	23275
820	28102	23241
821	28134	23205
822	28164	23167
823	28194	23130
824	28231	23098
825	28266	23064
826	28300	23030
827	28332	22994
828	28364	22958
829	28399	22924
830	28432	22889
831	28470	22858
832	28500	22820
833	28523	22777
834	28559	22744
835	28596	22713
836	28641	22687
837	28678	22655
838	28718	22625
839	28754	22592
840	28788	22558
841	28831	22531
842	28873	22502
843	28945	22498
844	29042	22512
845	29077	22477
846	29107	22440
847	29139	22404
848	29170	22367
849	29202	22331
850	29238	22297
851	29278	22268
852	29310	22232
853	29344	22197
854	29375	22160
855	29411	22127
856	29443	22091
857	29478	22057
858	29507	22019
859	29539	21982
860	29570	21945
861	29603	21910
862	29634	21873
863	29666	21837
864	29694	21799
865	29726	21762
866	29759	21727
867	29787	21688
868	29818	21651
869	29845	21612
870	29877	21576
871	29909	21540
872	29937	21501
873	29965	21462
874	29996	21426
875	30026	21388
876	30057	21352
877	30086	21313
878	30111	21273
879	30139	21234
880	30168	21196
881	30192	21155
882	30218	21115
883	30248	21077
884	30275	21038
885	30303	21000
886	30332	20962
887	30364	20927
888	30396	20890
889	30423	20852
890	30454	20815
891	30484	20778
892	30515	20742
893	30547	20706
894	30581	20672
895	30611	20635
896	30641	20598
897	30673	20563
898	30700	20523
899	30730	20486
900	30763	20452
901	30796	20416
902	30823	20378
903	30855	20342
904	30886	20306
905	30919	20271
906	30949	20234
907	30983	20200
908	31017	20166
909	31047	20130
910	31092	20102
911	31127	20068
912	31159	20033
913	31186	19994
914	31217	19958
915	31262	19931
916	31303	19901
917	31341	19870
918	31372	19833
919	31403	19797
920	31431	19759
921	31461	19723
922	31487	19683
923	31514	19645
924	31548	19611
925	31586	19579
926	31622	19546
927	31655	19511
928	31684	19474
929	31720	19441
930	31752	19405
931	31784	19370
932	31818	19336
933	31845	19298
934	31876	19262
935	31909	19227
936	31946	19194
937	31986	19164
938	32020	19130
939	32054	19096
940	32086	19060
941	32118	19025
942	32146	18988
943	32172	18949
944	32200	18911
945	32233	18876
946	32277	18848
947	32315	18816
948	32353	18784
949	32386	18750
950	32416	18713
951	32447	18677
952	32480	18642
953	32510	18606
954	32538	18568
955	32565	18531
956	32598	18496
957	32628	18459
958	32655	18421
959	32685	18385
960	32723	18354
961	32759	18320
962	32797	18288
963	32832	18255
964	32868	18222
965	32904	18189
966	32942	18157
967	32979	18124
968	33019	18094
969	33064	18066
970	33111	18039
971	33170	18018
972	33214	17989
973	33252	17957
974	33511	18044
975	33578	18027
976	33650	18013
977	33683	17978
978	33717	17943
979	33757	17911
980	33796	17880
981	33834	17847
982	33869	17813
983	33909	17781
984	33942	17746
985	33976	17711
986	34011	17677
987	34045	17643
988	34081	17609
989	34125	17579
990	34161	17546
991	34198	17512
992	34236	17480
993	34274	17447
994	34309	17413
995	34343	17378
996	34384	17347
997	34419	17313
998	34462	17282
999	34505	17252
1000	34543	17220
1001	34585	17189
1002	34624	17156
1003	34655	17120
1004	34688	17085
1005	34721	17050
1006	34767	17021
1007	34802	16986
1008	34842	16955
1009	34887	16925
1010	34943	16901
1011	34999	16877
1012	35059	16854
1013	35112	16829
1014	35165	16803
1015	35230	16782
1016	35273	16752
1017	35313	16720
1018	35352	16687
1019	35389	16653
1020	35423	16618
1021	35457	16583
1022	35495	16550
1023	35531	16516
1024	35573	16485
1025	35620	16456
1026	35665	16426
1027	35708	16395
1028	35748	16362
1029	35787	16330
1030	35831	16299
1031	35882	16272
1032	36003	16276
1033	36047	16245
1034	36077	16208
1035	36105	16170
1036	36137	16134
1037	36173	16100
1038	36210	16066
1039	36243	16030
1040	36273	15993
1041	36304	15957
1042	36332	15919
1043	36359	15881
1044	36390	15844
1045	36420	15807
1046	36450	15770
1047	36484	15735
1048	36516	15699
1049	36552	15665
1050	36584	15629
1051	36616	15593
1052	36647	15556
1053	36679	15520
1054	36710	15484
1055	36737	15446
1056	36766	15409
1057	36796	15372
1058	36832	15338
1059	36863	15301
1060	36893	15265
1061	36931	15231
1062	36961	15194
1063	37001	15162
1064	37035	15127
1065	37068	15091
1066	37099	15055
1067	37130	15019
1068	37160	14982
1069	37192	14946
1070	37232	14914
1071	37264	14878
1072	37295	14841
1073	37326	14805
1074	37355	14768
1075	37386	14732
1076	37413	14694
1077	37439	14656
1078	37469	14619
1079	37503	14584
1080	37542	14551
1081	37582	14518
1082	37624	14486
1083	37652	14449
1084	37683	14413
1085	37708	14375
1086	37739	14338
1087	37767	14301
1088	37799	14265
1089	37832	14230
1090	37863	14194
1091	37895	14158
1092	37927	14123
1093	37960	14087
1094	37989	14051
1095	38024	14016
1096	38055	13980
1097	38085	13943
1098	38118	13908
1099	38150	13872
1100	38181	13837
1101	38212	13800
1102	38244	13765
1103	38276	13729
1104	38312	13695
1105	38345	13659
1106	38378	13624
1107	38409	13589
1108	38442	13553
1109	38476	13518
1110	38506	13482
1111	38545	13449
1112	38581	13415
1113	38619	13381
1114	38653	13346
1115	38688	13312
1116	38725	13278
1117	38762	13244
1118	38800	13210
1119	38833	13175
1120	38860	13138
1121	38887	13101
1122	38921	13066
1123	38956	13031
1124	38989	12996
1125	39023	12961
1126	39057	12926
1127	39091	12892
1128	39128	12858
1129	39162	12822
1130	39194	12787
1131	39230	12753
1132	39281	12723
1133	39315	12689
1134	39349	12654
1135	39384	12619
1136	39419	12585
1137	39455	12550
1138	39481	12513
1139	39509	12476
1140	39558	12446
1141	39603	12415
1142	39639	12380
1143	39675	12346
1144	39718	12314
1145	39749	12278
1146	39783	12243
1147	39815	12208
1148	39845	12172
1149	39884	12138
1150	39921	12104
1151	39959	12071
1152	40001	12038
1153	40038	12004
1154	40068	11968
1155	40101	11933
1156	40135	11898
1157	40167	11863
1158	40201	11827
1159	40234	11792
1160	40265	11757
1161	40296	11721
1162	40327	11685
1163	40359	11650
1164	40394	11615
1165	40425	11579
1166	40455	11543
1167	40490	11509
1168	40524	11474
1169	40555	11438
1170	40587	11403
1171	40617	11367
1172	40648	11331
1173	40680	11296
1174	40712	11260
1175	40744	11225
1176	40776	11190
1177	40812	11155
1178	40842	11120
1179	40875	11084
1180	40907	11049
1181	40940	11014
1182	40972	10979
1183	41008	10944
1184	41041	10909
1185	41075	10874
1186	41103	10838
1187	41131	10802
1188	41165	10767
1189	41194	10731
1190	41226	10696
1191	41260	10661
1192	41301	10628
1193	41337	10593
1194	41368	10558
1195	41397	10522
1196	41427	10486
1197	41455	10450
1198	41486	10414
1199	41516	10379
1200	41546	10343
1201	41574	10307
1202	41601	10270
1203	41634	10235
1204	41667	10200
1205	41702	10166
1206	41730	10130
1207	41762	10094
1208	41794	10059
1209	41823	10023
1210	41852	9987
1211	41881	9952
1212	41911	9916
1213	41939	9880
1214	41963	9843
1215	41997	9808
1216	42033	9774
1217	42056	9737
1218	42080	9700
1219	42109	9664
1220	42138	9628
1221	42173	9594
1222	42204	9558
1223	42236	9523
1224	42267	9488
1225	42297	9453
1226	42327	9417
1227	42359	9382
1228	42389	9347
1229	42420	9311
1230	42452	9276
1231	42483	9241
1232	42516	9206
1233	42548	9171
1234	42583	9137
1235	42616	9102
1236	42648	9067
1237	42680	9032
1238	42710	8997
1239	42739	8961
1240	42771	8926
1241	42807	8892
1242	42851	8859
1243	42909	8830
1244	42988	8804
1245	43036	8773
1246	43068	8737
1247	43098	8702
1248	43129	8667
1249	43157	8631
1250	43189	8596
1251	43221	8561
1252	43251	8525
1253	43286	8491
1254	43322	8457
1255	43367	8424
1256	43393	8388
1257	43427	8354
1258	43455	8318
1259	43485	8282
1260	43520	8248
1261	43551	8213
1262	43585	8178
1263	43617	8143
1264	43648	8108
1265	43683	8074
1266	43713	8038
1267	43743	8003
1268	43775	7968
1269	43803	7932
1270	43833	7897
1271	43867	7862
1272	43897	7827
1273	43929	7792
1274	43957	7757
1275	43991	7722
1276	44024	7687
1277	44056	7653
1278	44088	7618
1279	44121	7583
1280	44149	7547
1281	44179	7512
1282	44205	7476
1283	44238	7441
1284	44276	7408
1285	44310	7373
1286	44343	7338
1287	44376	7304
1288	44412	7269
1289	44446	7235
1290	44478	7200
1291	44510	7165
1292	44541	7130
1293	44576	7096
1294	44608	7061
1295	44642	7026
1296	44675	6992
1297	44706	6957
1298	44733	6921
1299	44764	6886
1300	44797	6852
1301	44825	6816
1302	44858	6782
1303	44904	6749
1304	44959	6718
1305	44998	6684
1306	45039	6650
1307	45080	6617
1308	45124	6584
1309	45166	6550
1310	45210	6517
1311	45249	6483
1312	45280	6448
1313	45312	6414
1314	45345	6379
1315	45378	6344
1316	45417	6310
1317	45445	6275
1318	45484	6241
1319	45525	6207
1320	45562	6173
1321	45601	6139
1322	45640	6106
1323	45678	6072
1324	45717	6038
1325	45759	6004
1326	45796	5970
1327	45838	5936
1328	45874	5902
1329	45911	5868
1330	45955	5835
1331	45996	5801
1332	46040	5767
1333	46086	5734
1334	46125	5700
1335	46164	5666
1336	46201	5632
1337	46238	5598
1338	46276	5564
1339	46313	5530
1340	46351	5495
1341	46386	5461
1342	46421	5426
1343	46455	5392
1344	46487	5357
1345	46519	5322
1346	46554	5287
1347	46598	5254
1348	46634	5220
1349	46674	5186
1350	46711	5151
1351	46748	5117
1352	46785	5083
1353	46821	5048
1354	46858	5014
1355	46895	4980
1356	46930	4945
1357	46964	4910
1358	47004	4876
1359	47040	4842
1360	47073	4807
1361	47106	4772
1362	47137	4737
1363	47169	4703
1364	47200	4668
1365	47235	4633
1366	47268	4598
1367	47302	4564
1368	47334	4529
1369	47367	4494
1370	47397	4459
1371	47447	4426
1372	47485	4392
1373	47517	4357
1374	47549	4322
1375	47583	4288
1376	47618	4253
1377	47647	4218
1378	47681	4183
1379	47712	4148
1380	47744	4114
1381	47777	4079
1382	47806	4044
1383	47836	4009
1384	47882	3975
1385	47921	3941
1386	47947	3906
